service_id,date,exception_type
26-1-127,20220802,2
26-1-127,20220803,2
26-1-127,20220804,2
26-1-127,20220805,2
26-1-127,20220806,2
26-1-127,20220807,2
26-1-127,20220808,2
26-1-127,20220809,2
26-1-127,20220810,2
26-1-127,20220811,2
26-1-127,20220812,2
26-1-127,20220813,2
26-1-127,20220814,2
26-1-127,20220815,2
26-1-127,20220816,2
26-1-127,20220817,2
26-1-127,20220818,2
26-1-127,20220819,2
26-1-127,20220820,2
26-1-127,20220821,2
26-1-127,20220822,2
26-1-127,20220823,2
26-1-127,20220824,2
26-1-127,20220825,2
26-1-127,20220826,2
